100	0.049095
99	0.049124
98	0.049143
97	0.049287
96	0.049466
95	0.049459
94	0.049470
93	0.049469
92	0.049410
91	0.049368
90	0.049432
89	0.049611
88	0.049672
87	0.049690
86	0.049754
85	0.049948
84	0.050066
83	0.050112
82	0.050115
81	0.050223
80	0.050287
79	0.050417
78	0.050407
77	0.050493
76	0.050520
75	0.050529
74	0.050594
73	0.050660
72	0.050906
71	0.051076
70	0.051145
69	0.051142
68	0.051280
67	0.051305
66	0.051469
65	0.051612
64	0.051618
63	0.051636
62	0.051858
61	0.052180
60	0.052236
59	0.052265
58	0.052573
57	0.052878
56	0.052826
55	0.052870
54	0.052863
53	0.053003
52	0.053056
51	0.053106
50	0.053217
49	0.053339
48	0.053335
47	0.053377
46	0.053569
45	0.053708
44	0.053846
43	0.054280
42	0.054358
41	0.054408
40	0.054833
39	0.054924
38	0.055093
37	0.055215
36	0.055325
35	0.055612
34	0.056107
33	0.056352
32	0.056423
31	0.056867
30	0.057037
29	0.057309
28	0.057476
27	0.057466
26	0.057927
25	0.058139
24	0.058311
23	0.058436
22	0.058672
21	0.058826
20	0.058904
19	0.059244
18	0.059270
17	0.059388
16	0.060761
15	0.060963
14	0.061599
13	0.061616
12	0.062235
11	0.064707
10	0.065216
9	0.067182
8	0.067777
7	0.068841
6	0.070328
5	0.074933
4	0.078083
3	0.079503
2	0.082475
1	0.104750
